Month	KPI	Direction	Plant	UOM	Achieved	Target
Jan-26	OTD	HIGHER_IS_BETTER	Plant-06	%	97.00%	95.00%
Jan-26	YMR	HIGHER_IS_BETTER	Plant-05	%	83.66%	94.00%
Jan-26	YMR	HIGHER_IS_BETTER	Plant-06	%	90.10%	94.00%
Jan-26	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	77.00%	83.00%
Jan-26	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	72.50%	74.00%
Jan-26	EHS	LOWER_IS_BETTER	Plant-05	Num	1	0
Jan-26	EHS	LOWER_IS_BETTER	Plant-06	Num	0	0
Jan-26	FGS	HIGHER_IS_BETTER	Plant-05	Num	23458	37000
Jan-26	FGS	HIGHER_IS_BETTER	Plant-06	Num	25363	17500
Jan-26	WIP	LOWER_IS_BETTER	Plant-05	Num	2.74	3.50
Jan-26	WIP	LOWER_IS_BETTER	Plant-06	Num	1.49	2.00
YTD	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	3	0
YTD	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
YTD	MMR	LOWER_IS_BETTER	Plant-05	Num	1.65	1.33
YTD	MMR	LOWER_IS_BETTER	Plant-06	Num	1.21	1.19
YTD	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.81%	2.00%
YTD	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.76%	2.00%
YTD	OTD	HIGHER_IS_BETTER	Plant-05	%	96.52%	95.00%
YTD	OTD	HIGHER_IS_BETTER	Plant-06	%	96.85%	95.00%
YTD	YMR	HIGHER_IS_BETTER	Plant-05	%	92.35%	94.00%
YTD	YMR	HIGHER_IS_BETTER	Plant-06	%	92.84%	94.00%
YTD	Actual OEE	HIGHER_IS_BETTER	Plant-05	%	79.37%	83.00%
YTD	Actual OEE	HIGHER_IS_BETTER	Plant-06	%	67.67%	74.00%
YTD	EHS	LOWER_IS_BETTER	Plant-05	Num	0	1
YTD	EHS	LOWER_IS_BETTER	Plant-06	Num	0	2
YTD	FGS	HIGHER_IS_BETTER	Plant-05	Num	27904	37000
YTD	FGS	HIGHER_IS_BETTER	Plant-06	Num	20576	17500
YTD	WIP	LOWER_IS_BETTER	Plant-05	Num	2.90	3.50
YTD	WIP	LOWER_IS_BETTER	Plant-06	Num	1.63	2.00
Feb-26	Customer Complaints	LOWER_IS_BETTER	Plant-05	Num	0	0
Feb-26	Customer Complaints	LOWER_IS_BETTER	Plant-06	Num	0	0
Feb-26	MMR	LOWER_IS_BETTER	Plant-05	Num	1.65	1.33
Feb-26	MMR	LOWER_IS_BETTER	Plant-06	Num	1.21	1.19
Feb-26	Quality Index	LOWER_IS_BETTER	Plant-05	%	1.70%	2.00%
Feb-26	Quality Index	LOWER_IS_BETTER	Plant-06	%	1.64%	2.00%
Feb-26	OTD	HIGHER_IS_BETTER	Plant-05	%	97.41%	95.00%
Feb-26	OTD	HIGHER_IS_BETTER	Plant-06	%	92.52%	95.00%
